text-typo-secondary,text-typo-gray href,text-typo-gray,text-primary href,text-primary,text-black,paperContributors_author_list__show_more__9jsqT,text-typo-secondary (2),text-primary href (2),text-primary (2),notranslate,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),notranslate (7),text-black href,text-black (2),text-primary href (3),flex,font-medium,text-sm
Journal Article,https://www.doi.org/10.1177/106002808401800406,DOI,https://typeset.io/papers/isotretinoin-a-reappraisal-28ngz2re7w,11. Isotretinoin: A Reappraisal,,,30 Aug 2016,https://typeset.io/journals/annals-of-pharmacotherapy-th97wxtw,Annals of Pharmacotherapy,"Factors include a history of pancreatitis, coronary artery disease, hepatitis, diabetes mellitus, obesity, alcohol consumption, and a family history of hypertriglyceridemia, which increase the risk of severe side effects.",,,,,,,https://typeset.io/authors/christopher-s-conner-4lcw7qqxb2,Christopher S. Conner,,,6,
Journal Article,https://www.doi.org/10.1007/S40267-013-0065-5,DOI,https://typeset.io/papers/isotretinoin-therapy-for-acne-is-associated-with-1k8aav9ove,12. Isotretinoin therapy for acne is associated with controversial issues regarding specific adverse effects,,,19 Jul 2013,https://typeset.io/journals/drugs-therapy-perspectives-1hcnr8ju,Drugs & Therapy Perspectives,"The paper does not specify factors determining the severity of side effects from isotretinoin; it focuses on teratogenicity, depression/suicide, and inflammatory bowel disease as controversial issues.",,,,,,,https://typeset.io/authors/adis-medical-writers-27jg4pvjhb,Adis Medical Writers,,,,
Open access,,,https://typeset.io/papers/clinical-and-laboratory-adverse-effects-associated-with-long-4f8sz3y3g9,"13. Clinical and laboratory adverse effects associated with long-term, low-dose isotretinoin: incidence and risk factors. The Isotretinoin-Basal Cell Carcinomas Study Group.",,+6 more,01 Jul 1993,https://typeset.io/journals/cancer-epidemiology-biomarkers-prevention-2lxyapwf,"Cancer Epidemiology, Biomarkers & Prevention","Male gender, very fair skin, and elevated pretreatment triglyceride levels are significant risk factors for experiencing worse side effects from isotretinoin.",,,,,,,https://typeset.io/authors/joseph-a-tangrea-2qblm3p2jm,Joseph A. Tangrea,https://typeset.io/pdf/clinical-and-laboratory-adverse-effects-associated-with-long-4f8sz3y3g9.pdf,PDF,29,Summary
Open access,https://www.doi.org/10.1016/J.SDER.2008.07.002,DOI,https://typeset.io/papers/preventing-and-managing-the-side-effects-of-isotretinoin-43ccw7ukpy,14. Preventing and managing the side effects of isotretinoin.,,+1 more,01 Sep 2008,https://typeset.io/journals/seminars-in-cutaneous-medicine-and-surgery-151che1c,Seminars in Cutaneous Medicine and Surgery,"The dosage, severity of acne at treatment onset, duration of acne, and presence of truncal acne are key factors influencing the severity of isotretinoin side effects.",,,,,,,https://typeset.io/authors/megan-a-brelsford-463mocaew6,Megan A Brelsford,,,,
Open access,,,https://typeset.io/papers/evaluation-of-clinical-adverse-effects-and-laboratory-4qsg9y95an,15. Evaluation of clinical adverse effects and laboratory alterations in patients with acne vulgaris treated with oral isotretinoin Avaliação dos efeitos adversos clínicos e alterações laboratoriais em pacientes com acne vulgar tratados com isotretinoína oral,,+3 more,01 Jan 2010,,,"Factors include individual patient characteristics, dosage, duration of treatment, pre-existing health conditions, and adherence to monitoring protocols, which collectively influence the severity of isotretinoin side effects.",,,,,,,https://typeset.io/authors/maria-de-fatima-de-medeiros-brito-27a3hppugi,Maria de Fátima de Medeiros Brito,https://typeset.io/pdf/evaluation-of-clinical-adverse-effects-and-laboratory-4qsg9y95an.pdf,PDF,,Summary
Open access,https://www.doi.org/10.4274/TURKDERM.45.09,DOI,https://typeset.io/papers/evaluation-of-side-effects-of-isotretinoin-in-150-patients-1f9b4kr1ap,16. Evaluation of Side Effects of Isotretinoin in 150 Patients with Acne Vulgaris,,+2 more,15 Mar 2011,https://typeset.io/journals/turkderm-2qhyhs2i,Turkderm,"Factors influencing worse side effects from isotretinoin include age (younger patients), gender (female), higher cumulative doses, and the presence of severe acne or nodular lesions.",,,,,,,https://typeset.io/authors/ayse-serap-karadag-z1gp0dmz73,Ayse Serap Karadag,,,13,
Open access,https://www.doi.org/10.1159/000182270,DOI,https://typeset.io/papers/acute-acne-flare-following-isotretinoin-administration-11uftnlyjc,17. Acute acne flare following isotretinoin administration: potential protective role of low starting dose.,,+4 more,01 Jan 2009,https://typeset.io/journals/dermatology-24yz47h8,Dermatology,"The severity of acne, initial dosage, presence of large closed comedones, and individual patient characteristics influence the likelihood and severity of side effects from isotretinoin treatment.",,,,,,,https://typeset.io/authors/alessandro-borghi-4jhbeobc8w,Alessandro Borghi,https://typeset.io/pdf/acute-acne-flare-following-isotretinoin-administration-11uftnlyjc.pdf,PDF,,Summary
Journal Article,https://www.doi.org/10.1177/120347540000400205,DOI,https://typeset.io/papers/isotretinoin-use-in-acne-prospective-evaluation-of-adverse-1e4olymtal,18. Isotretinoin use in acne: prospective evaluation of adverse events.,,+1 more,01 Apr 2000,https://typeset.io/journals/journal-of-cutaneous-medicine-and-surgery-3ibx6sw6,Journal of Cutaneous Medicine and Surgery,"Factors include individual health status, history of musculoskeletal issues, adherence to moisturizing regimens, and the severity of acne being treated, which influence the incidence and severity of side effects.",,,,,,,https://typeset.io/authors/peter-r-hull-3xc65g6myh,Peter R. Hull,,,,
Open access,https://www.doi.org/10.1007/s00403-023-02532-6,DOI,https://typeset.io/papers/prevalence-of-adverse-events-varies-with-the-different-oral-35zokvzp,19. Prevalence of adverse events varies with the different oral isotretinoin brands in acne treatment: a retrospective observational study,,+4 more,19 Jan 2023,https://typeset.io/journals/archives-of-dermatological-research-3fh4lwts,Archives of Dermatological Research,"Factors include the specific isotretinoin brand, patient characteristics such as body weight, and the presence of concomitant treatments, which can influence the prevalence of adverse events.",,,,,,,https://typeset.io/authors/boutros-soutou-1c2ur6s8zs,Boutros Soutou,https://typeset.io/pdf/prevalence-of-adverse-events-varies-with-the-different-oral-35zokvzp.pdf,PDF,,Summary
Open access,https://www.doi.org/10.21203/rs.3.rs-1897757/v1,DOI,https://typeset.io/papers/prevalence-of-adverse-events-varies-with-the-different-oral-ezgey72i,20. Prevalence of adverse events varies with the different oral isotretinoin brands in acne treatment: a retrospective observational study.,,,01 Aug 2022,,,"Factors include the specific isotretinoin brand used, patient characteristics such as body weight, and individual responses to the medication, which influence the prevalence of adverse events.",,,,,,,,,,,,
Journal Article,https://www.doi.org/10.1093/bjd/ljae090.102,DOI,https://typeset.io/papers/p075-a-retrospective-review-of-isotretinoin-treatment-23fszfmwb5,21. P075 A retrospective review of isotretinoin treatment-related psychosexual health side-effects in a tertiary dermatology clinic,Kyriaki Stefania Mitsaki,+2 more,28 Jun 2024,https://typeset.io/journals/british-journal-of-dermatology-1a1gch1p,British Journal of Dermatology,"Logistic regression analysis did not identify potential risk factors for psychiatric adverse effects, including no correlation with average daily or total cumulative dose of isotretinoin.",,,,,,,,,,,,
Open access,https://www.doi.org/10.1155/2020/3176521,DOI,https://typeset.io/papers/the-association-between-adiponectin-single-nucleotide-51num9x3op,22. The Association between Adiponectin Single Nucleotide Polymorphisms and Side Effects of Isotretinoin in Acne Patients.,,+4 more,29 Apr 2020,https://typeset.io/journals/dermatology-research-and-practice-2519ts84,Dermatology Research and Practice,"Genetic polymorphisms, particularly in the adiponectin gene, along with environmental factors like diet, may influence the severity of side effects from isotretinoin treatment in acne patients.",,,,,,,https://typeset.io/authors/munir-garba-2nzvmtm4ts,Munir Garba,https://typeset.io/pdf/the-association-between-adiponectin-single-nucleotide-51num9x3op.pdf,PDF,,Summary
Open access,https://www.doi.org/10.7241/OURD.20172.57,DOI,https://typeset.io/papers/acne-fulminans-in-the-course-of-oral-isotretinoin-treatment-3e52rhl4n9,23. Acne fulminans in the course of oral isotretinoin treatment. Presentation of cases,,+9 more,02 Apr 2017,https://typeset.io/journals/our-dermatology-online-w7e27neo,Our Dermatology Online,"Factors include male sex, age 13-16, presence of numerous blackheads, inflammatory nodules, prior antibiotic therapies, and genetic predispositions, which may increase the risk of severe side effects.",,,,,,,https://typeset.io/authors/magdalena-kregiel-2t9pwt1sne,Magdalena Kręgiel,https://typeset.io/pdf/acne-fulminans-in-the-course-of-oral-isotretinoin-treatment-3e52rhl4n9.pdf,PDF,,Summary
Open access,https://www.doi.org/10.7759/cureus.33658,DOI,https://typeset.io/papers/severe-insomnia-induced-by-isotretinoin-use-for-the-1yoklehs,24. Severe Insomnia Induced by Isotretinoin Use for the Management of Acne Vulgaris: A Rare Side Effect,,+2 more,01 Jan 2023,https://typeset.io/journals/cureus-2whepbxw,Cureus,"Factors include dosage, individual patient history, psychiatric predisposition, and the presence of other medical conditions, which can influence the severity of side effects from isotretinoin.",,,,,,,https://typeset.io/authors/sultan-assiri-1j9njyb9,Sultan Assiri,https://typeset.io/pdf/severe-insomnia-induced-by-isotretinoin-use-for-the-1yoklehs.pdf,PDF,,Summary
Journal Article,https://www.doi.org/10.1111/J.1365-2230.2006.02144.X,DOI,https://typeset.io/papers/vitamin-b12-and-folate-deficiency-anaemia-associated-with-4wxlh60p30,25. Vitamin B12 and folate deficiency anaemia associated with isotretinoin treatment for acne.,,+1 more,01 Jun 2006,https://typeset.io/journals/clinical-and-experimental-dermatology-1s9jss0a,Clinical and Experimental Dermatology,"Factors include pre-existing nutritional deficiencies (e.g., B12, folate), dosage, duration of treatment, individual metabolic responses, and potential drug interactions, which can influence the severity of isotretinoin side effects.",,,,,,,https://typeset.io/authors/z-f-jasim-3r9pe4nz7g,Z. F. Jasim,,,12,
Open access,https://www.doi.org/10.16966/2576-2826.131,DOI,https://typeset.io/papers/severe-acne-in-female-patients-treated-with-isotretinoin-is-4comny9f6c,26. Severe Acne in Female Patients Treated with Isotretinoin is associated with Dysbiosis and its Consequences,,+1 more,01 Jan 2018,,,"Dysbiosis, lower body weight, and higher anxiety or depression scores may contribute to worse side effects from isotretinoin in female patients with severe acne.",,,,,,,https://typeset.io/authors/bruno-d-5b6corh4kv,Bruno D,,,5,
Journal Article,https://www.doi.org/10.1111/DTH.12483,DOI,https://typeset.io/papers/adverse-effects-of-isotretinoin-a-large-retrospective-review-4f4w114yoc,"27. Adverse effects of isotretinoin: A large, retrospective review",,+3 more,01 Jul 2017,https://typeset.io/journals/dermatologic-therapy-i3syciyo,Dermatologic Therapy,"Factors include dosage, duration of treatment, individual psychiatric history, and pre-existing conditions. Higher doses and certain mental health issues may exacerbate side effects.",,,,,,,https://typeset.io/authors/piotr-brzezinski-3x4j52fuhe,Piotr Brzezinski,,,,
Journal Article,https://www.doi.org/10.5455/medscience.2024.06.065,DOI,https://typeset.io/papers/effects-of-isotretinoin-treatment-on-menstrual-cycle-in-acne-1cjkydojeqii,28. Effects of isotretinoin treatment on menstrual cycle in acne patients,Banu Mendi,+4 more,01 Jan 2024,https://typeset.io/journals/medicine-science-international-medical-journal-3csufoaq,Medicine Science | International Medical Journal,"The study does not specify factors determining the severity of side effects from isotretinoin; however, it notes a correlation between menstrual irregularities and hirsutism during treatment.",,,,,,,,,,,,
Open access,,,https://typeset.io/papers/efficacy-and-adverse-effects-of-systemic-isotretinoin-3bdc6sdigb,29. Efficacy and adverse effects of systemic isotretinoin therapy,,,22 Dec 2016,https://typeset.io/journals/journal-of-pakistan-association-of-dermatology-hjlx583f,Journal of Pakistan Association of Dermatology,The paper does not specify factors determining the severity of side effects from isotretinoin; it only states that all patients experienced some adverse effects.,,,,,,,https://typeset.io/authors/ch-muhammad-tahir-1y1b9com6r,Ch. Muhammad Tahir,http://www.jpad.com.pk/index.php/jpad/article/download/436/410,PDF,,
Journal Article,https://www.doi.org/10.1111/J.1365-2230.2010.03778.X,DOI,https://typeset.io/papers/the-effect-of-isotretinoin-treatment-on-plasma-homocysteine-e9m3l40gk3,30. The effect of isotretinoin treatment on plasma homocysteine levels in acne vulgaris.,,+5 more,01 Aug 2010,https://typeset.io/journals/clinical-and-experimental-dermatology-1s9jss0a,Clinical and Experimental Dermatology,"Factors include liver function, pre-existing health conditions, dosage, duration of treatment, and individual metabolic responses, which can influence the severity of isotretinoin side effects.",,,,,,,https://typeset.io/authors/m-r-roodsari-32gc9xcay4,M. R. Roodsari,,,11,
Open access,https://www.doi.org/10.9734/jpri/2022/v34i47a36392,DOI,https://typeset.io/papers/indication-contraindication-complication-and-monitoring-of-3qrqnhf6,"31. Indication, Contraindication, Complication and Monitoring of Isotretinoin",,+10 more,09 Aug 2022,https://typeset.io/journals/journal-of-pharmaceutical-research-international-3de4iseo,Journal of pharmaceutical research international,"Higher daily dosages, individual patient factors such as history of affective disorders, and concurrent medications can increase the likelihood and severity of side effects from isotretinoin.",,,,,,,https://typeset.io/authors/nawal-rajeh-alyamani-1vkz26o6,Nawal Rajeh Alyamani,https://typeset.io/pdf/indication-contraindication-complication-and-monitoring-of-3qrqnhf6.pdf,PDF,,Summary
Journal Article,https://www.doi.org/10.23736/S0392-0488.17.05742-X,DOI,https://typeset.io/papers/reducing-the-oral-isotretinoin-skin-side-effects-efficacy-of-2zle1ryfti,"32. Reducing the oral isotretinoin skin side effects: efficacy of 8% omega-ceramides, hydrophilic sugars, 5% niacinamide cream compound in acne patients.",,+4 more,01 Apr 2018,https://typeset.io/journals/giornale-italiano-di-dermatologia-e-venereologia-organo-1xjis7fw,"Giornale italiano di dermatologia e venereologia : organo ufficiale, Società italiana di dermatologia e sifilografia",The paper does not address specific factors determining the severity of isotretinoin side effects; it focuses on the efficacy of a cream to mitigate these effects.,,,,,,,https://typeset.io/authors/maria-vittoria-cannizzaro-26p9jr80o5,Maria Vittoria Cannizzaro,,,5,
Open access,https://www.doi.org/10.1016/J.JSPS.2020.01.019,DOI,https://typeset.io/papers/prevalence-and-associated-risk-factors-of-acne-relapse-among-1zqqe16gzt,33. Prevalence and associated risk factors of acne relapse among Saudi acne vulgaris patients using isotretinoin.,,+2 more,01 Mar 2020,https://typeset.io/journals/journal-of-the-saudi-pharmaceutical-society-5gh5pnfn,Journal of The Saudi Pharmaceutical Society,Higher doses of oral isotretinoin and lack of awareness regarding side effects contribute to experiencing worse side effects among patients.,,,,,,,https://typeset.io/authors/sa-a-4twl9tq7rn,Sa A,,,13,
Journal Article,https://www.doi.org/10.30978/UJDVK2020-3-50,DOI,https://typeset.io/papers/adverse-effects-of-systemic-retinoids-in-treatment-of-acne-2frs9x5lrr,34. Adverse effects of systemic retinoids in treatment of acne: what are doctor and patient afraid of?,,,18 Sep 2020,,,The paper does not specify factors determining the severity of side effects from isotretinoin; it primarily discusses the overall tolerability and management of side effects during treatment.,,,,,,,https://typeset.io/authors/m-r-anfilova-1yi2vgeaet,M.R. Anfilova,,,,
Open access,,,https://typeset.io/papers/side-effects-of-treatment-with-isotretinoin-in-patients-with-34vjatrtj7,35. Side effects of treatment with isotretinoin in patients with acne,,+1 more,01 Jun 2005,https://typeset.io/journals/polski-merkuriusz-lekarski-organ-polskiego-towarzystwa-wwn5fix2,Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,"The severity of side effects from isotretinoin is significantly influenced by sex, with males reporting more frequent side effects, and the specific diagnosis of acne being treated.",,,,,,,https://typeset.io/authors/beata-bergler-czop-vtqslba8w4,Beata Bergler-Czop,,,1,
Journal Article,https://www.doi.org/10.1002/CBF.2830,DOI,https://typeset.io/papers/isotretinoin-treatment-induces-oxidative-toxicity-in-blood-1t0ydvz5n7,36. Isotretinoin treatment induces oxidative toxicity in blood of patients with acne vulgaris: a clinical pilot study.,,+2 more,01 Oct 2012,https://typeset.io/journals/cell-biochemistry-and-function-3iewlyox,Cell Biochemistry and Function,"Factors include dosage, individual antioxidant levels, pre-existing health conditions, and concurrent medications, which can influence the severity of isotretinoin's side effects.",,,,,,,https://typeset.io/authors/ijlal-erturan-4v851ma719,İjlal Erturan,,,,
Journal Article,https://www.doi.org/10.1111/J.1365-2133.1994.TB08524.X,DOI,https://typeset.io/papers/long-term-safety-of-isotretinoin-as-a-treatment-for-acne-zlpwbqq109,37. Long‐term safety of isotretinoin as a treatment for acne vulgaris,,+2 more,01 Sep 1994,https://typeset.io/journals/british-journal-of-dermatology-1a1gch1p,British Journal of Dermatology,"No correlation was found between age, sex, cumulative dose, or number of courses of isotretinoin and the occurrence of reported possible side effects.",,,,,,,https://typeset.io/authors/v-goulden-1gjk86agvt,V. Goulden,,,82,
Journal Article,https://www.doi.org/10.1001/ARCHDERM.139.3.376,DOI,https://typeset.io/papers/taking-advantage-of-a-side-effect-of-isotretinoin-4rettc1c07,38. Taking advantage of a side effect of isotretinoin.,,+1 more,01 Mar 2003,https://typeset.io/journals/archives-of-dermatology-3m76jf6u,Archives of Dermatology,"Genetic predisposition, particularly variations in the apoE gene, along with pre-existing lipid levels and family history of hyperlipidemia, influence the severity of side effects from isotretinoin.",,,,,,,https://typeset.io/authors/claudio-cortese-25r15u5y22,Claudio Cortese,,,3,
Open access,,,https://typeset.io/papers/adverse-effects-of-systemic-isotretinoin-therapy-a-study-of-1f5mx9b8ek,39. Adverse effects of systemic isotretinoin therapy: a study of 78 patients,,+2 more,28 Dec 2016,https://typeset.io/journals/journal-of-pakistan-association-of-dermatology-hjlx583f,Journal of Pakistan Association of Dermatology,"The study does not specify factors determining the severity of side effects from isotretinoin; however, individual patient characteristics and biochemical profiles may influence side effect experiences.",,,,,,,https://typeset.io/authors/ijaz-ahmed-3j7jeqv076,Ijaz Ahmed,http://www.jpad.com.pk/index.php/jpad/article/download/651/624,PDF,4,
Journal Article,https://www.doi.org/10.1080/09546634.2016.1230175,DOI,https://typeset.io/papers/the-weeks-and-the-cumulative-doses-of-the-first-adverse-25ye0r1n0w,40. The weeks and the cumulative doses of the first adverse events related to oral isotretinoin in acne patients: analysis of 300 patients,,+5 more,19 May 2017,https://typeset.io/journals/journal-of-dermatological-treatment-2bsuip15,Journal of Dermatological Treatment,"Cumulative dose, dosage frequency, individual patient factors such as atopy, and the timing of treatment initiation significantly influence the severity of side effects from isotretinoin.",,,,,,,https://typeset.io/authors/duriye-deniz-demirseren-4mkz3ep8ms,Duriye Deniz Demirseren,,,11,
Journal Article,https://www.doi.org/10.1080/09546634.2023.2301435,DOI,https://typeset.io/papers/a-novel-predictive-method-for-risk-stratification-in-acne-38r0sta3md,41. A novel predictive method for risk stratification in acne patients receiving isotretinoin: an analysis of laboratory abnormalities and changes in inflammatory parameters.,,+9 more,08 Jan 2024,,,"Baseline cholesterol and triglyceride levels are significant factors in predicting side effects from isotretinoin, with specific thresholds indicating higher risk for grade 1 abnormalities.",,,,,,,https://typeset.io/authors/rand-murshidi-2su2afng,Rand Murshidi,,,,
